model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
 EcoSport,2017,11499,Manual,20057,Petrol,145.0,52.3,1.0,Ford
 Tiguan,2019,30684,Automatic,2614,Diesel,150.0,45.6,2.0,VW
 B Class,2018,16990,Semi-Auto,14717,Diesel,150.0,68.9,2.1,Merc
 C Class,2016,19440,Semi-Auto,29409,Hybrid,145.0,54.3,2.0,cclass
 Polo,2017,10495,Manual,18744,Petrol,145.0,60.1,1.0,VW
 Corsa,2017,7500,Manual,20389,Petrol,145.0,55.4,1.4,Vauxhall
 A1,2015,9798,Manual,29554,Diesel,0.0,80.7,1.6,Audi
 Golf,2019,17298,Manual,11217,Petrol,145.0,47.1,1.5,VW
 Grandland X,2019,18499,Manual,2900,Petrol,145.0,44.1,1.2,Vauxhall
 Corsa,2016,6998,Manual,24213,Petrol,30.0,55.4,1.4,Vauxhall
 Avensis,2018,11590,Manual,40875,Diesel,145.0,67.3,1.6,toyota
 Golf,2015,14500,Manual,47141,Diesel,20.0,67.3,2.0,VW
 Aygo,2017,7481,Manual,20053,Petrol,150.0,68.9,1.0,toyota
 Caddy Maxi Life,2020,19995,Semi-Auto,2000,Diesel,145.0,46.3,2.0,VW
 X1,2017,17000,Manual,18000,Diesel,125.0,58.9,2.0,BMW
 Focus,2019,18998,Automatic,11738,Diesel,145.0,64.2,2.0,Ford
 Corsa,2019,8330,Manual,8233,Petrol,145.0,43.5,1.4,Vauxhall
 Corsa,2015,6490,Manual,8139,Petrol,125.0,53.3,1.2,Vauxhall
 C Class,2012,11995,Other,44644,Diesel,145.0,54.3,3.0,cclass
 X1,2016,19497,Semi-Auto,29959,Diesel,145.0,55.4,2.0,BMW
 A1,2014,12450,Manual,23000,Diesel,0.0,74.3,1.6,Audi
 1 Series,2019,20440,Semi-Auto,9908,Petrol,150.0,47.9,2.0,BMW
 B-MAX,2017,8995,Manual,22649,Petrol,30.0,55.4,1.0,Ford
 Kuga,2013,9795,Automatic,57080,Petrol,265.0,36.7,1.6,Ford
 A1,2017,15995,Manual,16760,Petrol,145.0,70.6,1.4,Audi
 Kuga,2015,13660,Semi-Auto,49711,Diesel,145.0,52.3,2.0,Ford
 Focus,2018,13000,Manual,10834,Petrol,145.0,54.3,1.0,Focus
 A Class,2017,14799,Manual,21147,Petrol,145.0,51.4,1.6,Merc
 Citigo,2017,6390,Manual,23161,Petrol,145.0,64.2,1.0,Skoda
 Focus,2014,5698,Manual,70745,Petrol,145.0,54.3,1.0,Focus
 Fabia,2017,9495,Manual,17963,Petrol,145.0,64.2,1.0,Skoda
 GL Class,2017,27999,Automatic,30827,Diesel,200.0,47.9,2.1,Merc
 A4,2018,17500,Manual,15207,Petrol,145.0,51.4,1.4,Audi
 5 Series,2016,17995,Semi-Auto,52511,Diesel,125.0,60.1,2.0,BMW
 Fiesta,2017,10990,Manual,11000,Petrol,150.0,65.7,1.0,Ford
 A5,2020,29950,Semi-Auto,5000,Diesel,145.0,50.4,2.0,Audi
 Fiesta,2014,6949,Manual,41076,Petrol,0.0,65.7,1.0,Ford
 Up,2016,5350,Manual,41225,Petrol,20.0,62.8,1.0,VW
 Q2,2018,20990,Semi-Auto,8650,Petrol,145.0,54.3,1.4,Audi
 I20,2016,8350,Manual,28387,Petrol,30.0,56.5,1.2,Hyundi
 Corsa,2017,7699,Manual,32000,Petrol,30.0,54.3,1.4,Vauxhall
 Fiesta,2018,12251,Manual,8920,Petrol,145.0,58.9,1.0,Ford
 Combo Life,2019,19000,Manual,5315,Petrol,145.0,42.2,1.2,Vauxhall
 2 Series,2016,20295,Semi-Auto,28271,Petrol,260.0,37.2,3.0,BMW
 A4,2019,29991,Automatic,2798,Diesel,145.0,44.8,2.0,Audi
 Fabia,2017,8995,Manual,17943,Petrol,145.0,64.2,1.0,Skoda
 Fiesta,2019,12980,Manual,15274,Petrol,145.0,60.1,1.0,Ford
 SL CLASS,2014,20000,Automatic,57000,Petrol,240.0,37.7,3.5,Merc
 Fiesta,2016,10498,Manual,15728,Petrol,0.0,65.7,1.0,Ford
 A3,2016,11000,Manual,32467,Diesel,20.0,70.6,1.6,Audi
 A1,2019,22900,Semi-Auto,3300,Petrol,150.0,40.9,2.0,Audi
 EcoSport,2017,7500,Manual,44430,Petrol,160.0,44.8,1.5,Ford
 Santa Fe,2019,28990,Automatic,7921,Diesel,145.0,42.8,2.2,Hyundi
 G Class,2020,159999,Semi-Auto,1350,Petrol,145.0,21.4,4.0,Merc
 Polo,2019,16499,Semi-Auto,4423,Petrol,145.0,46.3,1.0,VW
 C Class,2019,26940,Automatic,4600,Diesel,145.0,54.3,2.0,cclass
 1 Series,2016,16000,Manual,40125,Petrol,305.0,35.3,3.0,BMW
 Yaris,2017,9789,Manual,8810,Petrol,30.0,58.0,1.3,toyota
 T-Cross,2020,19490,Manual,1000,Petrol,145.0,47.9,1.0,VW
 Tiguan,2017,17990,Manual,23126,Diesel,165.0,50.4,2.0,VW
 Kuga,2015,11495,Manual,67709,Diesel,145.0,54.3,2.0,Ford
 Superb,2016,12999,Semi-Auto,43212,Diesel,30.0,61.4,2.0,Skoda
 A5,2015,13500,Manual,33430,Diesel,30.0,60.1,2.0,Audi
 Octavia,2020,17980,Automatic,400,Petrol,150.0,44.8,1.5,Skoda
 A4,2017,16500,Manual,25302,Diesel,145.0,74.3,2.0,Audi
 Focus,2017,11257,Manual,17000,Diesel,145.0,54.3,1.5,Focus
 Passat,2019,18741,Semi-Auto,12489,Diesel,150.0,51.4,2.0,VW
 A4,2013,11500,Manual,26500,Petrol,150.0,49.6,1.8,Audi
 Golf,2020,25999,Semi-Auto,10,Hybrid,150.0,44.8,1.5,VW
 Focus,2019,17480,Manual,8469,Petrol,145.0,60.1,1.0,Ford
 Fiesta,2019,13140,Manual,5,Petrol,145.0,48.7,1.1,Ford
 Yeti Outdoor,2016,13000,Manual,29103,Diesel,145.0,55.4,2.0,Skoda
 Corolla,2019,21995,Automatic,8661,Hybrid,135.0,78.5,1.8,toyota
 Astra,2019,13691,Manual,6500,Petrol,150.0,45.6,1.6,Vauxhall
 Aygo,2014,7000,Automatic,41012,Petrol,0.0,67.0,1.0,toyota
 Mokka,2016,11500,Manual,37801,Petrol,145.0,47.1,1.4,Vauxhall
 Fabia,2016,7999,Manual,20845,Petrol,20.0,58.8,1.0,Skoda
 Mokka X,2018,11990,Manual,15981,Diesel,145.0,50.4,1.6,Vauxhall
 Insignia,2016,9500,Automatic,35469,Diesel,125.0,60.1,1.6,Vauxhall
 C Class,2018,23400,Automatic,9861,Petrol,145.0,46.3,1.5,Merc
 Focus,2019,15970,Automatic,404,Petrol,145.0,47.9,1.5,Ford
 Focus,2017,12599,Manual,4559,Petrol,145.0,54.3,1.0,Focus
 E Class,2019,26199,Semi-Auto,2000,Diesel,145.0,72.4,2.0,Merc
 5 Series,2016,18500,Automatic,37933,Diesel,165.0,50.4,3.0,BMW
 Golf,2019,29995,Semi-Auto,6000,Petrol,145.0,37.7,2.0,VW
 Kuga,2016,9681,Manual,81332,Diesel,125.0,60.1,2.0,Ford
 Golf,2020,22500,Manual,2000,Diesel,145.0,62.8,2.0,VW
 A1,2016,12495,Manual,20645,Petrol,30.0,56.5,1.4,Audi
 Mokka,2016,10997,Manual,8723,Diesel,20.0,68.9,1.6,Vauxhall
 X-CLASS,2019,23996,Automatic,9160,Diesel,260.0,35.8,2.3,Merc
 Aygo,2019,8995,Manual,9459,Petrol,145.0,56.5,1.0,toyota
 Corsa,2018,7599,Manual,19003,Petrol,145.0,55.4,1.4,Vauxhall
 I10,2017,7999,Manual,25997,Petrol,145.0,57.7,1.2,Hyundi
 Q5,2019,35500,Semi-Auto,6273,Diesel,145.0,38.2,2.0,Audi
 Adam,2017,7290,Manual,32530,Petrol,125.0,53.3,1.2,Vauxhall
 Golf,2016,12791,Semi-Auto,41306,Petrol,30.0,53.3,1.4,VW
 GLC Class,2019,42676,Semi-Auto,11302,Diesel,150.0,40.4,2.0,Merc
 X3,2019,32995,Semi-Auto,1107,Petrol,145.0,30.4,2.0,BMW
 2 Series,2018,15199,Manual,14228,Petrol,145.0,52.3,1.5,BMW
 Kodiaq,2019,27490,Manual,5578,Diesel,145.0,52.3,2.0,Skoda
 A3,2017,16436,Semi-Auto,48575,Petrol,145.0,49.6,2.0,Audi
 SL CLASS,2019,28491,Semi-Auto,9477,Petrol,145.0,47.1,2.0,Merc
 Q2,2019,23991,Semi-Auto,9256,Diesel,145.0,46.3,1.6,Audi
 Insignia,2015,7499,Manual,35562,Diesel,20.0,72.4,1.6,Vauxhall
 Fiesta,2016,9997,Semi-Auto,9000,Petrol,145.0,47.9,1.6,Ford
 Q3,2016,17898,Manual,15982,Diesel,30.0,60.1,2.0,Audi
 Up,2019,9149,Manual,4542,Petrol,145.0,54.3,1.0,VW
 Mokka X,2019,15790,Manual,8623,Diesel,145.0,50.4,1.6,Vauxhall
 Golf,2017,7990,Manual,46000,Diesel,0.0,74.3,1.6,VW
 Astra,2017,9150,Manual,29709,Diesel,145.0,78.5,1.6,Vauxhall
 C Class,2016,14649,Manual,40049,Diesel,20.0,70.6,1.6,Merc
 A3,2016,16670,Semi-Auto,24563,Diesel,30.0,61.4,2.0,Audi
 Insignia,2016,9927,Manual,43810,Diesel,20.0,68.9,1.6,Vauxhall
 Golf,2016,11995,Manual,26333,Petrol,30.0,53.3,1.4,VW
 C-MAX,2018,11995,Manual,7123,Diesel,150.0,68.9,1.5,Ford
 Tiguan,2016,20690,Semi-Auto,45820,Diesel,165.0,49.6,2.0,VW
 Golf,2016,11500,Manual,43446,Petrol,30.0,53.3,1.4,VW
 1 Series,2016,11988,Manual,20698,Diesel,0.0,78.5,1.5,BMW
 GLA Class,2014,15498,Semi-Auto,53000,Diesel,145.0,55.4,2.1,Merc
 C Class,2017,35420,Semi-Auto,24057,Petrol,145.0,54.3,4.0,cclass
 Insignia,2018,13698,Manual,22200,Diesel,145.0,53.3,2.0,Vauxhall
 Mondeo,2016,9970,Manual,54719,Diesel,0.0,78.5,1.5,Ford
 Tiguan Allspace,2018,27000,Manual,6000,Diesel,145.0,49.6,2.0,VW
 C Class,2018,24999,Automatic,9695,Diesel,145.0,54.3,2.0,cclass
 V Class,2017,37000,Semi-Auto,15612,Diesel,235.0,44.8,2.2,Merc
 Edge,2016,17995,Manual,52000,Diesel,200.0,47.9,2.0,Ford
 Corsa,2019,8995,Manual,4508,Petrol,145.0,43.5,1.4,Vauxhall
 Focus,2018,18795,Manual,14076,Petrol,145.0,54.3,2.0,Focus
 Passat,2020,24490,Manual,2500,Diesel,145.0,55.4,2.0,VW
 Scala,2020,17950,Manual,1000,Petrol,145.0,49.6,1.0,Skoda
 Astra,2017,9498,Manual,21878,Petrol,145.0,49.6,1.4,Vauxhall
 Corsa,2011,3749,Manual,74500,Petrol,125.0,51.4,1.4,Vauxhall
 Yaris,2015,10195,Automatic,43500,Hybrid,0.0,86.0,1.5,toyota
 A4,2014,11391,Manual,73206,Diesel,125.0,60.1,2.0,Audi
 Kuga,2019,18489,Manual,10351,Diesel,145.0,54.3,1.5,Ford
 A Class,2016,16411,Semi-Auto,18914,Diesel,20.0,68.9,2.1,Merc
 Focus,2019,28000,Manual,2714,Petrol,145.0,54.3,2.3,Focus
 Mokka X,2017,10998,Manual,19002,Petrol,150.0,47.1,1.4,Vauxhall
 S Class,2017,38800,Automatic,18066,Diesel,145.0,52.3,2.9,Merc
 A1,2016,13490,Manual,32230,Petrol,30.0,55.4,1.4,Audi
 C-HR,2017,20495,Automatic,9740,Hybrid,135.0,74.3,1.8,toyota
 Astra,2016,10670,Automatic,21842,Petrol,125.0,51.4,1.4,Vauxhall
 Yaris,2018,11895,Manual,12500,Petrol,145.0,56.5,1.5,toyota
 Viva,2016,6290,Manual,14770,Petrol,20.0,62.8,1.0,Vauxhall
 4 Series,2019,32990,Semi-Auto,2403,Diesel,145.0,60.1,2.0,BMW
 GLC Class,2017,20175,Automatic,56386,Diesel,125.0,56.5,2.1,Merc
 Edge,2017,24000,Automatic,26818,Diesel,145.0,47.9,2.0,Ford
 Corsa,2019,9199,Manual,14507,Petrol,145.0,43.5,1.4,Vauxhall
 Aygo,2018,8795,Automatic,3989,Petrol,150.0,67.0,1.0,toyota
 Q3,2019,38995,Semi-Auto,4436,Petrol,150.0,32.1,2.0,Audi
 Q8,2019,61990,Automatic,6000,Diesel,145.0,32.8,3.0,Audi
 Polo,2020,14999,Manual,5000,Petrol,145.0,47.9,1.0,VW
 5 Series,2019,32250,Semi-Auto,1400,Hybrid,135.0,156.9,2.0,BMW
 1 Series,2019,28975,Semi-Auto,7110,Petrol,150.0,34.5,2.0,BMW
 Superb,2016,17295,Semi-Auto,17000,Diesel,30.0,61.4,2.0,Skoda
 5 Series,2015,10795,Automatic,91360,Diesel,30.0,62.8,2.0,BMW
 Focus,2018,10750,Manual,18954,Petrol,145.0,54.3,1.0,Focus
 A4,2015,12995,Manual,92582,Diesel,150.0,53.3,2.0,Audi
 A Class,2019,19991,Semi-Auto,13570,Petrol,145.0,53.3,1.3,Merc
 Fiesta,2018,10000,Manual,14285,Petrol,150.0,55.4,1.1,Ford
 I10,2018,7495,Manual,30397,Petrol,145.0,57.7,1.2,Hyundi
 Focus,2017,10450,Manual,29254,Petrol,145.0,54.3,1.0,Focus
 Fabia,2018,9990,Manual,14773,Petrol,145.0,64.2,1.0,Skoda
 C Class,2019,25699,Semi-Auto,15067,Diesel,145.0,61.4,2.0,Merc
 E Class,2019,38880,Automatic,1347,Diesel,145.0,47.1,3.0,Merc
 C Class,2019,27299,Automatic,2584,Diesel,145.0,54.3,1.6,cclass
 Corsa,2019,8530,Manual,8338,Petrol,145.0,43.5,1.4,Vauxhall
 C Class,2017,15995,Automatic,29489,Diesel,145.0,54.3,2.1,cclass
 Grandland X,2018,14499,Manual,10086,Diesel,145.0,70.6,1.6,Vauxhall
 3 Series,2013,8991,Manual,64377,Diesel,20.0,68.9,2.0,BMW
 Passat,2015,8869,Manual,52087,Diesel,20.0,70.6,1.6,VW
 Golf,2016,15698,Manual,36388,Diesel,20.0,67.3,2.0,VW
 I10,2017,7290,Manual,12351,Petrol,145.0,60.1,1.0,Hyundi
 Kuga,2017,16995,Manual,35966,Diesel,145.0,54.3,2.0,Ford
 S-MAX,2016,15895,Manual,34754,Diesel,125.0,56.5,2.0,Ford
 Fiesta,2017,7710,Manual,23644,Petrol,145.0,65.7,1.0,Ford
 Fiesta,2019,14000,Manual,4000,Petrol,145.0,56.5,1.0,Ford
 Fiesta,2016,8998,Manual,31373,Petrol,0.0,65.7,1.0,Ford
 Kuga,2017,15298,Manual,34673,Diesel,125.0,60.1,2.0,Ford
 A Class,2016,16990,Semi-Auto,32029,Diesel,20.0,68.9,2.1,Merc
 Combo Life,2019,16438,Manual,1248,Diesel,145.0,53.3,1.5,Vauxhall
 A6,2016,23782,Semi-Auto,73090,Diesel,235.0,43.5,3.0,Audi
 T-Roc,2018,17490,Manual,16999,Petrol,145.0,44.1,1.0,VW
 Fiesta,2016,8700,Manual,23246,Diesel,0.0,78.5,1.5,Ford
 4 Series,2019,31898,Semi-Auto,4125,Diesel,145.0,50.4,3.0,BMW
 X2,2019,29490,Semi-Auto,1155,Diesel,145.0,61.4,2.0,BMW
 3 Series,2018,16999,Manual,7000,Diesel,145.0,67.3,2.0,BMW
 A8,2019,53000,Automatic,1000,Petrol,145.0,37.7,3.0,Audi
 Yaris,2018,9950,Manual,20559,Petrol,150.0,58.9,1.5,toyota
 Ka+,2018,8591,Manual,13319,Petrol,145.0,48.7,1.2,Ford
 1 Series,2017,14000,Automatic,40511,Diesel,145.0,62.8,2.0,BMW
 Focus,2019,17497,Manual,8493,Petrol,145.0,60.1,1.0,Ford
 Yaris,2014,10495,Automatic,30214,Hybrid,0.0,76.3,1.5,toyota
 Aygo,2019,9260,Manual,150,Petrol,145.0,56.5,1.0,toyota
 Grandland X,2019,19990,Manual,9751,Diesel,145.0,48.7,1.5,Vauxhall
 X4,2017,26491,Semi-Auto,30485,Diesel,150.0,47.9,3.0,BMW
 5 Series,2019,28370,Semi-Auto,6251,Petrol,145.0,50.4,2.0,BMW
 3 Series,2019,34999,Automatic,20329,Diesel,145.0,48.7,2.0,BMW
 Corolla,2019,21350,Automatic,15481,Hybrid,135.0,78.5,1.8,toyota
 Tiguan,2019,28450,Automatic,8621,Diesel,145.0,39.8,2.0,VW
 C Class,2019,24600,Semi-Auto,9174,Petrol,145.0,54.3,1.5,cclass
 Fiesta,2016,8211,Manual,36332,Petrol,0.0,65.7,1.0,Ford
 1 Series,2017,12338,Manual,15770,Diesel,0.0,83.1,1.5,BMW
 Focus,2018,17182,Manual,15672,Petrol,145.0,41.5,2.0,Ford
 Focus,2019,15999,Manual,15000,Petrol,145.0,54.3,1.0,Focus
 Focus,2012,6490,Manual,48000,Petrol,30.0,56.5,1.0,Ford
 Fiesta,2017,10447,Automatic,8337,Petrol,145.0,54.3,1.0,Ford
 GL Class,2017,19499,Automatic,18345,Diesel,145.0,67.3,2.1,Merc
 Tucson,2019,23991,Semi-Auto,10,Petrol,145.0,36.2,1.6,Hyundi
 GLC Class,2019,31950,Automatic,9460,Diesel,145.0,42.2,2.1,Merc
 Focus,2013,6900,Semi-Auto,28154,Petrol,160.0,44.1,1.6,Ford
 Up,2018,8102,Manual,14561,Petrol,145.0,64.2,1.0,VW
 Focus,2017,12000,Manual,22296,Diesel,145.0,74.3,1.5,Ford
 Astra,2017,9691,Manual,27993,Petrol,145.0,51.4,1.4,Vauxhall
 Golf,2016,15190,Semi-Auto,58266,Diesel,30.0,62.8,2.0,VW
 Focus,2019,15750,Manual,4637,Petrol,145.0,54.3,1.0,Focus
 GLC Class,2017,30400,Automatic,30136,Diesel,145.0,45.6,3.0,Merc
 A4,2019,26950,Automatic,10000,Diesel,145.0,44.8,2.0,Audi
 Astra,2019,12490,Manual,9556,Petrol,150.0,48.7,1.0,Vauxhall
 Focus,2014,7950,Manual,23691,Petrol,20.0,60.1,1.0,Ford
 Yaris,2019,15250,Automatic,4193,Hybrid,135.0,76.3,1.5,toyota
 C Class,2019,28499,Automatic,1864,Petrol,145.0,45.6,1.5,Merc
 V Class,2019,44990,Automatic,1099,Diesel,145.0,45.6,2.2,Merc
 Focus,2013,6190,Manual,69000,Diesel,20.0,67.3,1.6,Ford
 Mondeo,2016,11699,Automatic,79319,Diesel,125.0,57.7,2.0,Ford
 Tiguan Allspace,2019,27000,Automatic,12425,Diesel,145.0,39.2,2.0,VW
 T-Roc,2020,27507,Semi-Auto,2051,Petrol,145.0,39.8,1.5,VW
 Grandland X,2018,15795,Manual,6805,Petrol,145.0,55.4,1.2,Vauxhall
 Up,2017,6990,Manual,27462,Petrol,20.0,64.2,1.0,VW
 E Class,2018,39495,Semi-Auto,11999,Petrol,145.0,32.8,3.0,Merc
 Fiesta,2018,10498,Manual,10356,Petrol,145.0,65.7,1.0,Ford
 E Class,2017,22199,Semi-Auto,16350,Diesel,145.0,67.3,2.0,Merc
 Q2,2019,21422,Manual,2877,Diesel,145.0,49.6,1.6,Audi
 Golf,2016,17195,Manual,25832,Petrol,145.0,47.1,2.0,VW
 Insignia,2018,14995,Manual,22400,Diesel,150.0,65.7,1.6,Vauxhall
 C Class,2019,26495,Semi-Auto,3918,Diesel,145.0,54.3,2.0,cclass
 Polo,2020,16750,Semi-Auto,10,Petrol,145.0,45.6,1.0,VW
 Up,2017,8499,Manual,24388,Petrol,20.0,64.2,1.0,VW
 Focus,2017,18262,Manual,14800,Petrol,200.0,41.5,2.0,Ford
 A1,2016,9190,Manual,26584,Petrol,0.0,67.3,1.0,Audi
 T-Roc,2018,18900,Manual,22930,Petrol,145.0,53.3,1.5,VW
 Fiesta,2016,9710,Manual,21314,Petrol,20.0,62.8,1.0,Ford
 A1,2015,9500,Manual,44821,Diesel,0.0,80.7,1.6,Audi
 X2,2019,28000,Automatic,2920,Diesel,150.0,58.9,2.0,BMW
 E Class,2019,37900,Automatic,10190,Diesel,145.0,45.6,2.9,Merc
 Grandland X,2018,13793,Manual,27970,Diesel,150.0,56.5,1.5,Vauxhall
 Golf,2018,12200,Manual,32915,Petrol,150.0,58.9,1.0,VW
 Q5,2017,24985,Automatic,29343,Diesel,200.0,47.1,2.0,Audi
 Corolla,2019,23445,Automatic,5558,Hybrid,135.0,78.5,1.8,toyota
 Mokka X,2017,11991,Manual,11690,Petrol,200.0,42.2,1.6,Vauxhall
 Viva,2017,5750,Manual,34272,Petrol,150.0,62.8,1.0,Vauxhall
 Focus,2018,19000,Manual,17127,Petrol,145.0,41.5,2.0,Ford
 Tiguan,2017,22500,Manual,19914,Diesel,145.0,50.4,2.0,VW
 Fiesta,2017,8998,Manual,10111,Petrol,125.0,54.3,1.2,Ford
 1 Series,2019,17250,Manual,11699,Petrol,145.0,53.3,1.5,BMW
 Fabia,2013,4950,Manual,95636,Diesel,20.0,67.3,1.6,Skoda
 A3,2016,17996,Manual,14514,Petrol,30.0,60.1,1.4,Audi
 Polo,2017,11495,Manual,12638,Petrol,145.0,60.1,1.2,VW
 Focus,2013,5698,Manual,64292,Diesel,20.0,67.3,1.6,Ford
 Aygo,2018,8950,Automatic,9867,Petrol,150.0,67.0,1.0,toyota
 Passat,2017,16498,Semi-Auto,22136,Diesel,145.0,60.1,2.0,VW
 Caravelle,2006,7994,Manual,178000,Diesel,325.0,34.4,2.5,VW
 Focus,2014,8000,Semi-Auto,30558,Petrol,145.0,54.3,1.6,Focus
 EcoSport,2019,17299,Automatic,861,Petrol,145.0,45.6,1.0,Ford
 C Class,2019,31980,Semi-Auto,5133,Petrol,145.0,54.3,1.5,cclass
 Verso,2017,12690,Semi-Auto,24389,Petrol,200.0,42.8,1.8,toyota
 C Class,2020,28220,Semi-Auto,4501,Diesel,145.0,54.3,1.6,Merc
 Fiesta,2018,9990,Manual,33116,Petrol,150.0,65.7,1.0,Ford
 Adam,2014,5000,Manual,33034,Petrol,125.0,53.3,1.2,Vauxhall
 C-HR,2018,17990,Automatic,22915,Hybrid,135.0,74.3,1.8,toyota
 2 Series,2015,15980,Semi-Auto,41532,Diesel,125.0,61.4,2.0,BMW
 Golf,2019,34995,Semi-Auto,2780,Petrol,145.0,32.8,2.0,VW
 Caddy,2012,9995,Manual,26142,Diesel,200.0,48.7,1.6,VW
 Mokka X,2017,12000,Manual,23428,Diesel,145.0,68.9,1.6,Vauxhall
 Q3,2017,16449,Manual,33952,Petrol,125.0,51.4,1.4,Audi
 3 Series,2013,11211,Semi-Auto,88400,Diesel,125.0,58.9,2.0,BMW
 GLC Class,2020,42995,Automatic,20,Diesel,145.0,43.5,2.0,Merc
 Avensis,2017,13764,Automatic,40130,Petrol,145.0,47.1,1.8,toyota
 Octavia,2016,8990,Manual,48574,Diesel,0.0,74.3,1.6,Skoda
 Mokka X,2016,12257,Automatic,11840,Petrol,160.0,43.5,1.4,Vauxhall
 I10,2016,6995,Manual,30456,Petrol,30.0,57.6,1.2,Hyundi
 Astra,2018,11299,Manual,13350,Petrol,145.0,47.1,1.4,Vauxhall
 A4,2020,26000,Manual,1000,Petrol,145.0,39.2,2.0,Audi
 Astra,2016,7399,Manual,52996,Diesel,0.0,83.1,1.6,Vauxhall
 GL Class,2016,18499,Automatic,46864,Diesel,125.0,56.5,2.1,Merc
 Polo,2019,19345,Semi-Auto,2607,Petrol,145.0,39.8,2.0,VW
 Yaris,2016,11000,Automatic,34849,Petrol,0.0,86.0,1.5,toyota
 A5,2019,32990,Semi-Auto,6000,Diesel,145.0,50.4,2.0,Audi
 C Class,2015,10397,Manual,79881,Diesel,20.0,65.7,2.1,Merc
 Zafira,2015,10599,Automatic,15002,Petrol,235.0,39.2,1.4,Vauxhall
 RAV4,2019,27293,Automatic,19814,Hybrid,135.0,49.6,2.5,toyota
 C-HR,2017,18490,Automatic,26347,Petrol,145.0,44.8,1.2,toyota
 Q2,2017,16730,Semi-Auto,30433,Petrol,145.0,54.3,1.4,Audi
 Corsa,2017,6595,Manual,37336,Petrol,145.0,54.3,1.4,Vauxhall
 Grandland X,2018,17999,Automatic,31029,Petrol,145.0,43.5,1.2,Vauxhall
 A Class,2019,24480,Semi-Auto,16,Diesel,145.0,67.3,1.5,Merc
 Up,2015,6495,Manual,46731,Petrol,20.0,60.1,1.0,VW
 A Class,2020,24298,Semi-Auto,590,Petrol,150.0,53.3,1.3,Merc
 Golf,2019,25990,Manual,4019,Petrol,145.0,37.7,2.0,VW
 I10,2016,7490,Manual,12965,Petrol,20.0,60.1,1.0,Hyundi
 Octavia,2017,10695,Manual,33748,Diesel,150.0,65.7,2.0,Skoda
 3 Series,2017,21400,Automatic,22865,Diesel,145.0,49.6,3.0,BMW
 A1,2013,6485,Manual,65000,Diesel,0.0,74.3,1.6,Audi
 Fiesta,2017,7510,Manual,21103,Petrol,125.0,54.3,1.2,Ford
 Octavia,2014,8499,Semi-Auto,31052,Petrol,30.0,52.3,1.4,Skoda
 4 Series,2016,16000,Manual,33650,Petrol,160.0,44.8,2.0,BMW
 Focus,2017,10995,Manual,21020,Diesel,0.0,74.3,1.5,Ford
 Auris,2014,12999,Automatic,20447,Hybrid,0.0,76.4,1.8,toyota
 Yaris,2019,10298,Manual,24566,Petrol,150.0,47.9,1.5,toyota
 C Class,2019,28099,Semi-Auto,20001,Diesel,145.0,61.4,2.0,Merc
 Touran,2016,19000,Semi-Auto,11343,Diesel,30.0,65.7,1.6,VW
 3 Series,2015,13490,Automatic,63000,Diesel,30.0,64.2,2.0,BMW
 Superb,2020,23999,Semi-Auto,3500,Petrol,145.0,38.2,2.0,Skoda
 Aygo,2019,9990,Manual,5193,Petrol,145.0,57.7,1.0,toyota
 3 Series,2014,12331,Semi-Auto,41000,Diesel,30.0,62.8,2.0,BMW
 Mokka X,2017,10390,Manual,30339,Diesel,145.0,72.4,1.6,Vauxhall
 Touareg,2017,28052,Automatic,11387,Diesel,145.0,42.8,3.0,VW
 Fabia,2015,6995,Manual,22000,Petrol,20.0,58.8,1.0,Skoda
 A6,2019,46212,Automatic,5249,Diesel,145.0,36.2,3.0,Audi
 Mokka X,2019,13498,Manual,5895,Petrol,145.0,39.2,1.4,Vauxhall
 Focus,2018,18990,Manual,14155,Petrol,145.0,54.3,2.0,Focus
 Focus,2011,9199,Manual,47304,Petrol,325.0,30.4,2.5,Ford
 Golf SV,2018,17498,Semi-Auto,1303,Petrol,145.0,55.4,1.5,VW
 Tucson,2019,17449,Manual,3774,Petrol,150.0,34.9,1.6,Hyundi
 Corsa,2016,6360,Manual,33269,Petrol,30.0,55.4,1.4,Vauxhall
 Mokka X,2017,10171,Manual,28080,Petrol,145.0,47.1,1.4,Vauxhall
 GLS Class,2018,47980,Semi-Auto,5376,Diesel,145.0,37.2,3.0,Merc
 2 Series,2019,21773,Automatic,123,Diesel,145.0,49.6,2.0,BMW
 Q3,2020,32444,Semi-Auto,4432,Petrol,145.0,31.4,2.0,Audi
 Up,2020,9950,Manual,1880,Petrol,145.0,54.3,1.0,VW
 Focus,2018,14541,Manual,5050,Petrol,145.0,57.7,1.0,Ford
 Touran,2008,2300,Manual,112304,Petrol,305.0,34.5,1.6,VW
 GLA Class,2019,24999,Semi-Auto,11564,Petrol,145.0,36.2,1.6,Merc
 Polo,2019,12829,Manual,8703,Petrol,145.0,48.7,1.0,VW
 RAV4,2017,21999,Automatic,19296,Hybrid,20.0,57.6,2.5,toyota
 Kuga,2018,15299,Manual,21851,Diesel,150.0,64.2,1.5,Ford
 Golf,2017,12990,Manual,22159,Petrol,145.0,54.3,1.4,VW
 C Class,2019,24490,Semi-Auto,6247,Diesel,145.0,54.3,2.0,cclass
 1 Series,2016,19790,Semi-Auto,15921,Petrol,235.0,37.7,3.0,BMW
